Channel,Time,Program,Year Release,Description,Age Limit,Rating,Number of Ratings,Categories,Presenters
Первый канал,['05:00'],"Телеканал ""Доброе утро""",1986 — по н.в.,"Утренняя информационно-развлекательная программа «Первого канала» заряжает бодростью, оптимизмом и хорошим настроением на целый день. В каждом выпуске телешоу представлены актуальные новости, полезные советы на все случаи жизни, интервью с интересными гостями и многое другое. Первая часть программы выходит в эфир из Останкина, а затем эстафету перехватывает мобильная передвижная студия, которая находится на улицах Москвы.
«Телеканал „Доброе утро“» существует с 1986 года и является бесспорным лидером утреннего вещания.",0+,6.7,436 оценок,['развлекательное'],"['Лариса Вербицкая', 'Борис Щербаков', 'Екатерина Стриженова', 'Арина Шарапова', 'Юлия Зимина', 'Антон Привольнов', 'Светлана Зейналова', 'Роман Будников', 'Ольга Ушакова', 'Тимур Соловьев', 'Сергей Бабаев', 'Марина Ким', 'Анастасия Трегубова', 'Дильбар Файзиева']"
Первый канал,['09:05'],Модный приговор,2007 — по н.в.,"Одно из первых на российском телевидении ток-шоу о моде и стиле. Это игра-превращение, захватывающее состязание смелых героинь и героев с профессионалами. Участники «Модного приговора» дефилируют по подиуму в нарядах, выбранных самостоятельно, и в нарядах, подобранных стилистами, а зрители в студии решают, кто же победил. Оригинальна и форма программы: это не просто шоу, а суд над безвкусицей в одежде. Однако, судят не людей, а их манеру одеваться. Крайне полезными могут оказаться советы специалистов в области моды, которые щедро рассыпаны по всей передаче, легки для восприятия и применимы в жизни.",0+,4.6,7 262 оценки,['ток-шоу'],"['Александр Рогов', 'Лилия Рах', 'Эвелина Хромченко']"
Первый канал,['09:55'],Жить здорово!,2010 — по н.в.,"Познавательная передача о здоровой, радостной и счастливой жизни. Имеет формат ток-шоу и состоит из четырех разделов: «Про жизнь», «Про еду», «Про медицину», «Про дом». В первом разделе врачи рассказывают, например, как сохранить осанку, как правильно мыть волосы, как уберечься от травм во время гололеда. Во втором — как правильно готовить продукты питания, как их хранить и употреблять. В третьем — о том, как избежать различных заболеваний. В разделе «Про дом» Елена Малышева дает бытовые советы (например, как чистить ковер, как избежать появления моли в шкафу). В этом ей помогают все остальные ведущие программы.",16+,3.7,5 612 оценок,['ток-шоу'],"['Елена Малышева', 'Дмитрий Шубин', 'Андрей Продеус', 'Герман Гандельман']"
Первый канал,"['10:40', '11:20', '01:30', '03:05']",Подкаст.Лаб,2023 — по н.в.,"«Подкаст. Лаб» — это серия подкастов разной тематики, заполняющая ночные эфиры «Первого канала». Каждый раздел «Подкаста. Лаб» представлен разными ведущими. Карина Кросс отвечает за музыкальную рубрику «Неформат», Дмитрий Дибров возрождает свою «Антропологию», Лариса Гузеева читает любовные письма, Леонид Якубович рассказывает о пилотах, Михаил Ханов дает финансовые советы, а Арина Холина затрагивает самые интимные вопросы.",16+,3.4,296 оценок,['ток-шоу'],"['Лариса Гузеева', 'Леонид Якубович', 'Арина Холина', 'Карина Кросс', 'Валя Карнавал', 'Валерий Сюткин', 'Дмитрий Дибров', 'Денис Казанский', 'Антон Лаврентьев', 'Сергей Томаш', 'Михаил Ханов', 'Дмитрий Бак', 'Антон Шкаплеров', 'Вера Кинчева', 'Светлана Драган', 'Вадим Галыгин', 'Аглая Набатникова', 'Сергей Насибян', 'Татьяна Красновская']"
Первый канал,['17:15'],Давай поженимся!,2008 — по н.в.,"Участники программы «Давай поженимся» — одинокие мужчины и женщины, которые искренне хотят встретить свою «вторую половинку». В каждом выпуске одному жениху или невесте предлагается сделать выбор из трех претендентов на его (ее) руку и сердце. Все претенденты заранее видят фото героя на сайте шоу и из сотен других выбирают именно этого человека. Они рассказывают о себе и готовят для героя «сюрприз»: удивляют танцами, пением, кулинарными шедеврами, лингвистическими познаниями и другими способами. Герой программы поочередно встречается с тремя невестами или женихами, а в конце программы делает выбор: с кем из них он хотел бы продолжить отношения? Кого он готов рассматривать как человека, которому когда-нибудь, возможно, скажет: «Давай поженимся!»?
Все участники «Давай поженимся!» приходят на программу с родными и близкими, которые исполняют роль классических «сватов» и советчиков. Нередко на месте героя программы оказываются звезды шоу-бизнеса.",16+,3.6,11 708 оценок,['ток-шоу'],"['Лариса Гузеева', 'Роза Сябитова', 'Василиса Володина', 'Лидия Арефьева', 'Тамара Глоба']"
Первый канал,['18:05'],Мужское/Женское,2014 — по н.в.,"Героями программы становятся люди, переживающие сложный период в жизни. Они приходят в студию, чтобы психологи, юристы и другие эксперты помогли им разобраться в проблеме и оказать необходимую поддержку. При этом ведущие шоу Александр Гордон и Юлия Барановская предлагают критический взгляд на ситуацию, помогающий трезво оценить происходящее. Многие истории связаны с гендерными вопросами и вызывают у героев и зрителей бурные эмоции.
«Мужское/женское» — российское ток-шоу «Первого канала» о трудностях в личных и семейных взаимоотношениях. В честь 10-летия программы были отсняты три праздничных выпуска, в которых специальную премию МЖЭФИ вручили героям, чьи истории вызвали самый большой отклик у зрителей за всю историю шоу.",16+,3.8,6 096 оценок,['ток-шоу'],"['Александр Гордон', 'Юлия Барановская']"
Первый канал,['19:50'],Пусть говорят,2005 — по н.в.,"Одна из основных задач шоу — опровергнуть поговорку «словом делу не поможешь». Герои программы — известные личности или самые обычные люди — делятся со зрителями и экспертами своими невыдуманными историями. Обcуждая частные проблемы отдельных людей и семей, участники программы говорят о том, что волнует всех. Свое мнение о проблеме высказывают родственники и очевидцы, противники и сторонники, политики и психологи, знаменитости и журналисты, а также зрители, присутствующие в зале. Лучшим финалом программы «Пусть говорят» является конкретная помощь людям, исправление ошибок и поиск компромиссов.
«Пусть говорят» — это третья версия популярного ток-шоу Андрея Малахова, которое ранее выходило под названиями «Большая стирка» и «Пять вечеров». В 2017 году Андрей Малахов покинул программу из-за низких рейтингов и конфликтов с командой шоу. Его место занял Дмитрий Борисов. Также в разное время «гостевыми» ведущими специальных выпусков были Гарик Харламов, Вячеслав Манучаров, Рома Желудь и Ольга Картункова. Шоу «Пусть говорят» выходит в эфир «Первого канала».",16+,3.7,12 889 оценок,['ток-шоу'],['Дмитрий Борисов']
Первый канал,['21:45'],Комбинация,2024 (Сериал закончился),"Действие разворачивается в Саратове в 1988 году. Сотрудник ОБХСС (отдела по борьбе с хищениями социалистической собственности) Александр Шишинин становится отцом, и это событие заставляет его переосмыслить свою жизнь. Он бросает скучную работу и решает заняться тем, что его по-настоящему захватывает, — продюсировать музыкальную группу. Вместе с талантливым молодым композитором Виталием Окороковым он буквально на улице находит Татьяну Иванову и Алену Апину, которые становятся участницами первой в Советском Союзе поп-группы, полностью состоящей из девушек.
Сериал рассказывает о творческом пути Татьяны Ивановой, Алены Апиной, Ольги Ахуновой и Юлии Козюльковой, образовавших группу «Комбинация», которая прославилась своими хитами «Бухгалтер», «Не забывай», Russian Girls, American Boy и другими.",18+,6.9,595 оценок,['драма'],['Никита Власов']
Россия 1,['05:00'],Утро России,1998 — по н.в.,"Информационно-развлекательный канал «Утро России» — это четырехчасовое шоу в стиле «инфотейнмент». Каждый день ведущие говорят о главных событиях, о том, что интересует каждого жителя большой страны, о том, что тревожит, заставляет задуматься и вызывает гордость. В поле зрения программы оказываются не только самые заметные, но и просто любопытные истории, произошедшие в России и за ее пределами. Это и человеческие судьбы, и научные открытия, и новости из мира искусства. А корреспонденты программы и приглашенные эксперты помогают сориентироваться в любой жизненной ситуации. Как выбрать качественный товар? Как защитить свои права? Где можно сэкономить? Ответы на эти и другие вопросы — каждый день в утреннем эфире.",12+,7.0,323 оценки,['развлекательное'],"['Анастасия Чернобровина', 'Андрей Петров', 'Владислав Завьялов', 'Денис Стойков', 'Светлана Абрамова', 'Елена Николаева']"
Россия 1,['09:55'],О самом главном,2010 — по н.в.,"Программа «О самом главном» — время заняться своим здоровьем всерьез. Советы лучших специалистов Минздрава и НИИ Питания, актуальные вопросы и новейшие способы лечения — из первых рук.
Сергей Агапкин — доктор, специалист по традиционным системам оздоровления — практик и скептик. Предпочитает все проверить и исследовать самостоятельно. Он лично проконсультирует всех желающих, ответит на важные вопросы и даст четкие рекомендации. А лучшие специалисты страны подтвердят все самые главные утверждения и поделятся опытом.
Ток-шоу «О самом главном» переводит с медицинского языка на простой, разбирает продукты по составу, проводит эксперименты и проверяет ваши знания о себе. В каждом выпуске герои передачи прощаются с мифами и дают компетентные ответы на самые наболевшие вопросы.",12+,6.2,899 оценок,['ток-шоу'],"['Сергей Агапкин', 'Михаил Полицеймако', 'Александр Мясников', 'Татьяна Шаповаленко']"
